Privates Gymnasium des \\ Private Oberlandschulen e.V. Weilheim;Leprosenweg 14;82362;Weilheim;1
Vision naturwissenschaftlich-technologisches \\ Privatgymnasium;Hauptstr. 240;89343;Jettingen-Scheppach;2
Maria-Ward-Gymnasium G\"unzburg;Frauenplatz 1;89312;G\"unzburg;5
Gymnasium Buchloe;Kerschensteinerstr. 8;86807;Buchloe;6
St. Bonaventura-Gymnasium Dillingen;Konviktstr. 11a;89407;Dillingen;6
Benedikt Maria Werkmeister Gymnasium;Karl-Bonhoeffer-Str. 14;73450;Neresheim;7
Gymnasium F\"ussen;Dr.-Enzinger-Str. 5;87629;F\"ussen;8
Staatl. Fachoberschule Neus\"a\ss ;Landrat-Dr.Frey-Str. 2;86356;Neus\"a\ss ;8
Gertrud-von-le-Fort-Gymnasium Oberstdorf;Rubinger Str. 8;87561;Oberstdorf;9
Rupert-Ne\ss -Gymnasium Ottobeuren;Bergstr. 80;87724;Ottobeuren;9
Marianum Buxheim Gymnasium;An der Kartause 3;87740;Buxheim;9
St.-Thomas-Gymnasium Wettenhausen;St.-Thomas-Weg 2;89358;Kammeltal;9
Ostalb-Gymnasium Bopfingen;Alte Neresheimer Stra\ss e 39;73441;Bopfingen;9
Carl-von-Linde-Gymnasium Kempten;Haubensteigweg 10;87439;Kempten;10
Bertha-von-Suttner-Gymnasium Neu-Ulm;Heerstr. 117;89233;Neu-Ulm;10
Illertal-Gymnasium V\"ohringen;Zum Sportplatz 17;89269;V\"ohringen;10
Gymnasium bei St. Anna Augsburg;Schertlinstr. 5-7;86159;Augsburg;11
Staatl. Gymnasium Diedorf;Pestalozzistr. 47;86420;Diedorf;11
Ringeisen-Gymnasium \\ der St. Josefskongregation Ursberg;Josefsplatz 1;86513;Ursberg;11
Theodor-Heuss-Gymnasium N\"ordlingen;Sch\"aufelinstr. 8;86720;N\"ordlingen;11
Albrecht-Ernst-Gymnasium Oettingen;Goethestr. 36;86732;Oettingen;11
Valentin-Heider-Gymnasium Lindau;Ludwig-Kick-Str. 19;88131;Lindau;11
Lessing-Gymnasium Neu-Ulm;Augsburger Str. 75;89231;Neu-Ulm;11
Johann-Michael-Sailer-Gymnasium Dillingen;Ziegelstr. 8;89407;Dillingen;11
Albertus-Gymnasium Lauingen;Br\"uderstr. 10;89415;Lauingen;11
Willibald-Gymnasium Eichst\"att;Schottenau 16;85072;Eichst\"att;11
Rhabanus-Maurus-Gymnasium Sankt Ottilien;Kloster;86941;Sankt Ottilien;11
St.-Irmengard-Gymnasium \\ Garmisch-Partenkirchen;Hauptstr. 45;82467;Garmisch-Partenkirchen;11
Staatl. Fachoberschule Friedberg;Aichacher Str. 18;86316;Friedberg;11
Gymnasium Maria Stern Augsburg;G\"ogginger Str. 132;86199;Augsburg;12
Gymnasium Sonthofen;Albert-Schweitzer-Str. 21;87527;Sonthofen;12
Marien-Gymnasium Kaufbeuren;Kemnater Str. 19;87600;Kaufbeuren;12
Gymnasium Lindenberg i.Allg\"au;Blumenstr. 12;88161;Lindenberg;12
Ammersee-Gymnasium Die\ss en;Die\ss ener Str. 100;86911;Die\ss en;12
St\"adtisches Jakob-Fugger-Gymnasium \\ Augsburg;Kriemhildenstr. 5;86152;Augsburg;13
Gymnasium bei St. Stephan Augsburg;Gallusplatz 2;86152;Augsburg;13
Gymnasium Immenstadt;Allg\"auer Str. 7/9;87509;Immenstadt;13
V\"ohlin-Gymnasium Memmingen;Kaisergraben 21;87700;Memmingen;13
Bernhard-Strigel-Gymnasium Memmingen;Wielandstr. 6;87700;Memmingen;13
Bodensee-Gymnasium Lindau;Reutiner Str. 14;88131;Lindau;13
Kolleg der Schulbr\"uder Illertissen \\ - Gymnasium -;Dietenheimer Str. 70;89257;Illerti\ss en;13
Gymnasium Schrobenhausen;Georg-Leinfelder-Str. 14;86529;Schrobenhausen;13
Gymnasium Feuchtwangen;Dr.-Hans-G\"uthlein-Weg 10;91555;Feuchtwangen;13
Gymnasium Tutzing;Hauptstr. 20-22;82327;Tutzing;13
St\"adtisches Maria-Theresia-Gymnasium \\ Augsburg;Gutenbergstr. 1;86150;Augsburg;14
A.B. von Stettensches Institut Augsburg \\ -Gymnasium-;Am Katzenstadel 18a;86152;Augsburg;14
Paul-Klee-Gymnasium Gersthofen;Schubertstr. 57;86368;Gersthofen;14
Gymnasium Wertingen;Pestalozzistr. 12;86637;Wertingen;14
Leonhard-Wagner-Gymnasium \\ Schwabm\"unchen;Breitweg 16;86830;Schwabm\"unchen;14
Gymnasium Marktoberdorf;M\"uhlsteig 23;87616;Marktoberdorf;14
Gymnasium Hohenschwangau;Colomanstr. 10;87645;Schwangau;14
Maristenkolleg Mindelheim \\ -Gymnasium-;Champagnatplatz 1;87719;Mindelheim;14
Werdenfels-Gymnasium \\ Garmisch-Partenkirchen;Wettersteinstr. 30;82467;Garmisch-Partenkirchen;14
Maria-Ward-Gymnasium Augsburg;Frauentorstr. 26;86152;Augsburg;15
Deutschherren-Gymnasium Aichach;Ludwigstr. 58;86551;Aichach;15
Joseph-Bernhart-Gymnasium T\"urkheim;Irsinger Str. 7;86842;T\"urkheim;15
Nikolaus-Kopernikus-Gymnasium Wei\ss enhorn;Buchenweg 22;89264;Wei\ss enhorn;15
Dossenberger-Gymnasium G\"unzburg;Am S\"udlichen Burgfrieden 4;89312;G\"unzburg;15
Dominikus-Zimmermann-Gymnasium \\ Landsberg am Lech ;Platanenstr. 2;86899;Landsberg;15
Staffelsee-Gymnasium Murnau;Weindorfer Str. 20;82418;Murnau;15
Peutinger-Gymnasium Augsburg;An der Blauen Kappe 10;86152;Augsburg;16
Rudolf-Diesel-Gymnasium Augsburg;Peterhofstr. 9;86163;Augsburg;16
Simpert-Kraemer-Gymnasium Krumbach;Jochnerstr. 30;86381;Krumbach;16
Allg\"au-Gymnasium Kempten;Eberhard-Schobacher-Weg 1;87435;Kempten;16
Hildegardis-Gymnasium Kempten;Lindauer Str. 22;87439;Kempten;16
Gabrieli-Gymnasium Eichst\"att;Luitpoldstr. 40;85072;Eichst\"att;16
Gymnasium Markt Indersdorf;Arnbacher Str. 40;85229;Markt Indersdorf;16
Ignaz-K\"ogler-Gymnasium \\ Landsberg am Lech;Lechstr. 6;86899;Landsberg;16
Welfen-Gymnasium Schongau;Dornauer Weg 21;86956;Schongau;16
